(1, 24, 24, 3)
(2, 24, 24, 3)
(3, 24, 24, 3)
(4, 24, 24, 3)
(5, 24, 24, 3)
(6, 24, 24, 3)
(7, 24, 24, 3)
(8, 24, 24, 3)
(9, 24, 24, 3)
(10, 24, 24, 3)
(11, 24, 24, 3)
(12, 24, 24, 3)
(13, 24, 24, 3)
(14, 24, 24, 3)
(15, 24, 24, 3)
(16, 24, 24, 3)
(17, 24, 24, 3)
(18, 24, 24, 3)
(19, 24, 24, 3)
(20, 24, 24, 3)
(21, 24, 24, 3)
(22, 24, 24, 3)
(23, 24, 24, 3)
(24, 24, 24, 3)
(25, 24, 24, 3)
(26, 24, 24, 3)
(27, 24, 24, 3)
(28, 24, 24, 3)
(29, 24, 24, 3)
(30, 24, 24, 3)
(31, 24, 24, 3)
(32, 24, 24, 3)
(33, 24, 24, 3)
(34, 24, 24, 3)
(35, 24, 24, 3)
(36, 24, 24, 3)
(37, 24, 24, 3)
(38, 24, 24, 3)
(39, 24, 24, 3)
(40, 24, 24, 3)
(41, 24, 24, 3)
(42, 24, 24, 3)
(43, 24, 24, 3)
(44, 24, 24, 3)
(45, 24, 24, 3)
(46, 24, 24, 3)
(47, 24, 24, 3)
(48, 24, 24, 3)
(49, 24, 24, 3)
(50, 24, 24, 3)
(51, 24, 24, 3)
(52, 24, 24, 3)
(53, 24, 24, 3)
(54, 24, 24, 3)
(55, 24, 24, 3)
(56, 24, 24, 3)
(57, 24, 24, 3)
(58, 24, 24, 3)
(59, 24, 24, 3)
(60, 24, 24, 3)
(61, 24, 24, 3)
(62, 24, 24, 3)
(63, 24, 24, 3)
(64, 24, 24, 3)
(65, 24, 24, 3)
(66, 24, 24, 3)
(67, 24, 24, 3)
(68, 24, 24, 3)
(69, 24, 24, 3)
(70, 24, 24, 3)
(71, 24, 24, 3)
(72, 24, 24, 3)
(73, 24, 24, 3)
(74, 24, 24, 3)
(75, 24, 24, 3)
(76, 24, 24, 3)
(77, 24, 24, 3)
(78, 24, 24, 3)
(79, 24, 24, 3)
(80, 24, 24, 3)
(81, 24, 24, 3)
(82, 24, 24, 3)
(83, 24, 24, 3)
(84, 24, 24, 3)
(85, 24, 24, 3)
(86, 24, 24, 3)
(87, 24, 24, 3)
(88, 24, 24, 3)
(89, 24, 24, 3)
(90, 24, 24, 3)
(91, 24, 24, 3)
(92, 24, 24, 3)
(93, 24, 24, 3)
(94, 24, 24, 3)
(95, 24, 24, 3)
